Datum     ;Uhrzeit   ;Zeit;Wärmemenge in kWh    
02.02.2019;06:00;02.02.2019 06:00;1290
02.02.2019;07:00;02.02.2019 07:00;1160
02.02.2019;08:00;02.02.2019 08:00;1360
02.02.2019;09:00;02.02.2019 09:00;1340
02.02.2019;10:00;02.02.2019 10:00;1190
02.02.2019;11:00;02.02.2019 11:00;1360
02.02.2019;12:00;02.02.2019 12:00;1220
02.02.2019;13:00;02.02.2019 13:00;1300
02.02.2019;14:00;02.02.2019 14:00;1250
02.02.2019;15:00;02.02.2019 15:00;1320
02.02.2019;16:00;02.02.2019 16:00;1250
02.02.2019;17:00;02.02.2019 17:00;1360
02.02.2019;18:00;02.02.2019 18:00;1230
02.02.2019;19:00;02.02.2019 19:00;1390
02.02.2019;20:00;02.02.2019 20:00;1260
02.02.2019;21:00;02.02.2019 21:00;1340
02.02.2019;22:00;02.02.2019 22:00;1320
02.02.2019;23:00;02.02.2019 23:00;1130
03.02.2019;00:00;03.02.2019 00:00;1190
03.02.2019;01:00;03.02.2019 01:00;1070
03.02.2019;02:00;03.02.2019 02:00;1180
03.02.2019;03:00;03.02.2019 03:00;1120
03.02.2019;04:00;03.02.2019 04:00;1140
03.02.2019;05:00;03.02.2019 05:00;1230
03.02.2019;06:00;03.02.2019 06:00;1210
03.02.2019;07:00;03.02.2019 07:00;1360
03.02.2019;08:00;03.02.2019 08:00;1330
03.02.2019;09:00;03.02.2019 09:00;1480
03.02.2019;10:00;03.02.2019 10:00;1330
03.02.2019;11:00;03.02.2019 11:00;1390
03.02.2019;12:00;03.02.2019 12:00;1160
03.02.2019;13:00;03.02.2019 13:00;1290
03.02.2019;14:00;03.02.2019 14:00;1120
03.02.2019;15:00;03.02.2019 15:00;1190
03.02.2019;16:00;03.02.2019 16:00;1160
03.02.2019;17:00;03.02.2019 17:00;1240
03.02.2019;18:00;03.02.2019 18:00;1140
03.02.2019;19:00;03.02.2019 19:00;1280
03.02.2019;20:00;03.02.2019 20:00;1230
03.02.2019;21:00;03.02.2019 21:00;1240
03.02.2019;22:00;03.02.2019 22:00;1290
03.02.2019;23:00;03.02.2019 23:00;1130
04.02.2019;00:00;04.02.2019 00:00;1160
04.02.2019;01:00;04.02.2019 01:00;1120
04.02.2019;02:00;04.02.2019 02:00;1180
04.02.2019;03:00;04.02.2019 03:00;1220
04.02.2019;04:00;04.02.2019 04:00;1110
04.02.2019;05:00;04.02.2019 05:00;1270
04.02.2019;06:00;04.02.2019 06:00;1270
04.02.2019;07:00;04.02.2019 07:00;1350
04.02.2019;08:00;04.02.2019 08:00;1520
04.02.2019;09:00;04.02.2019 09:00;1490
04.02.2019;10:00;04.02.2019 10:00;1320
04.02.2019;11:00;04.02.2019 11:00;1400
04.02.2019;12:00;04.02.2019 12:00;1210
04.02.2019;13:00;04.02.2019 13:00;1300
04.02.2019;14:00;04.02.2019 14:00;1150
04.02.2019;15:00;04.02.2019 15:00;1230
04.02.2019;16:00;04.02.2019 16:00;1250
04.02.2019;17:00;04.02.2019 17:00;1200
04.02.2019;18:00;04.02.2019 18:00;1260
04.02.2019;19:00;04.02.2019 19:00;1160
04.02.2019;20:00;04.02.2019 20:00;1280
04.02.2019;21:00;04.02.2019 21:00;1170
04.02.2019;22:00;04.02.2019 22:00;1270
04.02.2019;23:00;04.02.2019 23:00;1120
05.02.2019;00:00;05.02.2019 00:00;1160
05.02.2019;01:00;05.02.2019 01:00;1120
05.02.2019;02:00;05.02.2019 02:00;1160
05.02.2019;03:00;05.02.2019 03:00;1170
05.02.2019;04:00;05.02.2019 04:00;1140
05.02.2019;05:00;05.02.2019 05:00;1230
05.02.2019;06:00;05.02.2019 06:00;1230
05.02.2019;07:00;05.02.2019 07:00;1320
05.02.2019;08:00;05.02.2019 08:00;1410
05.02.2019;09:00;05.02.2019 09:00;1410
05.02.2019;10:00;05.02.2019 10:00;1290
05.02.2019;11:00;05.02.2019 11:00;1350
05.02.2019;12:00;05.02.2019 12:00;1280
05.02.2019;13:00;05.02.2019 13:00;1250
05.02.2019;14:00;05.02.2019 14:00;1190
05.02.2019;15:00;05.02.2019 15:00;1240
05.02.2019;16:00;05.02.2019 16:00;1230
05.02.2019;17:00;05.02.2019 17:00;1210
05.02.2019;18:00;05.02.2019 18:00;1170
05.02.2019;19:00;05.02.2019 19:00;1190
05.02.2019;20:00;05.02.2019 20:00;1140
05.02.2019;21:00;05.02.2019 21:00;1260
05.02.2019;22:00;05.02.2019 22:00;1190
05.02.2019;23:00;05.02.2019 23:00;1190
06.02.2019;00:00;06.02.2019 00:00;1030
06.02.2019;01:00;06.02.2019 01:00;1150
06.02.2019;02:00;06.02.2019 02:00;1020
06.02.2019;03:00;06.02.2019 03:00;1120
06.02.2019;04:00;06.02.2019 04:00;1050
06.02.2019;05:00;06.02.2019 05:00;1070
06.02.2019;06:00;06.02.2019 06:00;1250
06.02.2019;07:00;06.02.2019 07:00;1130
06.02.2019;08:00;06.02.2019 08:00;1360
06.02.2019;09:00;06.02.2019 09:00;1340
06.02.2019;10:00;06.02.2019 10:00;1280
06.02.2019;11:00;06.02.2019 11:00;1130
06.02.2019;12:00;06.02.2019 12:00;1060
06.02.2019;13:00;06.02.2019 13:00;1000
06.02.2019;14:00;06.02.2019 14:00;1070
06.02.2019;15:00;06.02.2019 15:00;960
06.02.2019;16:00;06.02.2019 16:00;1010
06.02.2019;17:00;06.02.2019 17:00;920
06.02.2019;18:00;06.02.2019 18:00;1010
06.02.2019;19:00;06.02.2019 19:00;950
06.02.2019;20:00;06.02.2019 20:00;1040
06.02.2019;21:00;06.02.2019 21:00;1030
06.02.2019;22:00;06.02.2019 22:00;1000
06.02.2019;23:00;06.02.2019 23:00;1010
07.02.2019;00:00;07.02.2019 00:00;850
07.02.2019;01:00;07.02.2019 01:00;1010
07.02.2019;02:00;07.02.2019 02:00;870
07.02.2019;03:00;07.02.2019 03:00;1030
07.02.2019;04:00;07.02.2019 04:00;950
07.02.2019;05:00;07.02.2019 05:00;1050
07.02.2019;06:00;07.02.2019 06:00;1070
07.02.2019;07:00;07.02.2019 07:00;1070
07.02.2019;08:00;07.02.2019 08:00;1200
07.02.2019;09:00;07.02.2019 09:00;1170
07.02.2019;10:00;07.02.2019 10:00;1090
07.02.2019;11:00;07.02.2019 11:00;1020
07.02.2019;12:00;07.02.2019 12:00;1000
07.02.2019;13:00;07.02.2019 13:00;970
07.02.2019;14:00;07.02.2019 14:00;920
07.02.2019;15:00;07.02.2019 15:00;950
07.02.2019;16:00;07.02.2019 16:00;900
07.02.2019;17:00;07.02.2019 17:00;950
07.02.2019;18:00;07.02.2019 18:00;980
07.02.2019;19:00;07.02.2019 19:00;1000
07.02.2019;20:00;07.02.2019 20:00;1010
07.02.2019;21:00;07.02.2019 21:00;1030
07.02.2019;22:00;07.02.2019 22:00;1030
07.02.2019;23:00;07.02.2019 23:00;960
08.02.2019;00:00;08.02.2019 00:00;890
08.02.2019;01:00;08.02.2019 01:00;910
08.02.2019;02:00;08.02.2019 02:00;950
08.02.2019;03:00;08.02.2019 03:00;850
08.02.2019;04:00;08.02.2019 04:00;980
08.02.2019;05:00;08.02.2019 05:00;890
08.02.2019;06:00;08.02.2019 06:00;1070
08.02.2019;07:00;08.02.2019 07:00;1010
08.02.2019;08:00;08.02.2019 08:00;1190
08.02.2019;09:00;08.02.2019 09:00;1150
08.02.2019;10:00;08.02.2019 10:00;1100
